Wall time,Step,Value
1648497805.5331037,122596,3.603557586669922
1648497838.2191896,123983,3.3654394149780273
1648497869.2274144,125300,5.487477779388428
1648497904.5384543,126801,5.71143913269043
1648497933.0604262,128114,4.193082332611084
1648497955.7593834,129171,4.624174118041992
1648497977.8423753,130198,4.812843322753906
1648498012.4166384,131803,4.570853233337402
1648498037.6927304,132977,3.504572868347168
1648498065.6577206,134262,3.6114304065704346
1648498096.0581908,135671,4.047719478607178
1648498126.4630644,137079,4.168276786804199
1648498161.0951533,138682,4.07015323638916
1648498188.051308,139929,3.969994068145752
1648498219.9580536,141404,3.8554184436798096
1648498249.6239443,142776,3.8507890701293945
1648498277.763781,144077,4.801365375518799
1648498309.73269,145555,4.975123405456543
1648498330.317642,146507,4.104236125946045
1648498372.1205747,148432,3.99267840385437
1648498398.5756335,149652,4.451026439666748
1648498418.3744268,150568,3.4488525390625
1648498438.5384758,151501,2.554131507873535
1648498458.8964584,152446,4.201624870300293
1648498479.7475564,153412,3.834754467010498
1648498505.2070117,154592,4.295283317565918
1648498539.2578523,156025,4.093423366546631
1648498565.334854,157108,5.214986801147461
1648498614.376223,159146,4.487751007080078
1648498636.8897262,160082,5.194228649139404
1648498671.7654686,161534,3.704805850982666
1648498738.8875728,164326,4.547709941864014
1648498806.3528016,167130,4.456092834472656
1648498837.2946935,168439,6.249554634094238
1648498873.4298706,169968,5.809350490570068
1648498922.8635879,172057,3.3919243812561035
1648498976.2535906,174311,5.243464469909668
1648499014.3257236,175917,5.60697603225708
1648499056.781609,177706,5.020546913146973
1648499111.9930747,180033,5.010156154632568
1648499146.3840492,181484,4.9458465576171875
1648499209.2336566,184132,5.027494430541992
1648499249.7139356,185835,5.482604503631592
1648499287.9464688,187442,6.039062023162842
1648499336.8112545,189495,4.178764820098877
1648499370.2219362,190897,3.0564396381378174
1648499437.0227075,193695,3.2434957027435303
1648499517.3474405,197057,3.755419969558716
1648499558.8404558,198790,7.011531352996826
1648499593.5166185,200235,5.3302435874938965
1648499628.6450973,201701,3.87612247467041
1648499661.4492908,203069,4.929446697235107
1648499697.6291087,204577,4.1977763175964355
1648499752.2363017,206851,4.913285255432129
1648499824.8607514,209879,3.8882346153259277
1648499867.6767979,211661,5.250423431396484
1648499908.5624447,213359,6.173892021179199
1648499955.1906908,215293,5.32899284362793
1648499990.119873,216744,6.196690559387207
1648500018.1714876,217909,5.198212146759033
1648500044.5178123,219004,5.619085788726807
1648500073.405724,220204,3.6230382919311523
1648500104.9540515,221513,5.7351765632629395
1648500130.8874438,222589,5.092846393585205
1648500154.4863732,223569,4.6534905433654785
1648500183.0813756,224755,6.81486177444458
1648500245.958596,227365,3.845792531967163
1648500326.8130684,230715,3.3122589588165283
1648500417.3644254,234480,4.730320930480957
1648500459.6952338,236392,5.40034294128418
1648500492.3416746,237864,5.61110782623291
1648500535.6764233,239826,5.339311599731445
1648500569.4172997,241353,2.5545411109924316
1648500592.4849355,242396,3.257110595703125
1648500623.5278804,243803,5.77623987197876
1648500642.940411,244684,5.836489200592041
1648500662.025157,245550,4.923223495483398
1648500692.1804035,246915,6.305041790008545
1648500741.0261564,249128,3.883087396621704
1648500773.849105,250617,5.9659013748168945
1648500806.407487,252095,5.032929420471191
1648500840.616731,253647,4.097363471984863
1648500865.1855738,254761,5.652106761932373
1648500896.6248627,256185,4.460446357727051
1648500926.920298,257556,6.268338203430176
1648500975.862143,259773,3.3273537158966064
1648501004.1571438,261055,5.6332268714904785
1648501027.867381,262129,3.6135642528533936
1648501052.5822957,263250,3.745811939239502
1648501081.6225462,264567,3.5589468479156494
1648501110.092983,265858,3.899421215057373
1648501142.6550183,267334,5.4870686531066895
1648501175.7744615,268835,4.227205276489258
1648501203.5107448,270093,4.498435020446777
1648501232.1088743,271395,4.559928894042969
1648501256.0041473,272484,6.049161911010742
1648501281.6997437,273654,6.425962924957275
1648501307.4084473,274825,4.609213829040527
1648501331.2313497,275909,5.3794331550598145
1648501355.603512,277019,5.8799943923950195
1648501380.2326326,278140,6.277724266052246
1648501404.0843773,279227,5.558543682098389
1648501428.9317327,280358,6.0304059982299805
1648501462.0553296,281867,2.7387828826904297
1648501492.2232819,283245,5.0998616218566895
1648501522.0614038,284609,0.9474633932113647
1648501550.3300889,285788,5.9434943199157715
1648501576.0346634,286859,3.9533355236053467
1648501601.5966268,287924,6.172426223754883
1648501632.9730265,289231,4.83456563949585
1648501663.5416212,290504,5.929762840270996
1648501687.7059243,291510,3.8228492736816406
1648501716.4982612,292708,5.903720855712891
1648501743.6324,293836,3.4849021434783936
1648501768.3601146,294860,0.216207355260849
1648501784.3814874,295528,2.8648972511291504
1648501807.7895498,296503,3.32242751121521
1648501829.0110812,297388,6.0820817947387695
1648501863.93473,298845,4.147834777832031
1648501898.5836425,300289,4.1515302658081055
1648501925.7464333,301422,4.715072154998779
1648501953.4769819,302581,4.438756465911865
1648501977.79801,303596,3.258249282836914
1648502005.2066698,304740,3.5287740230560303
1648502033.0145438,305900,5.517123699188232
1648502060.8883457,307062,2.1500463485717773
1648502091.3335333,308332,5.364962100982666
1648502123.4738572,309784,4.795472621917725
1648502165.4229615,311707,4.520823955535889
1648502199.5037677,313267,5.148628234863281
1648502221.793751,314284,2.759730100631714
1648502241.989688,315206,4.851771354675293
1648502265.7622154,316296,4.386507511138916
1648502289.4683597,317382,5.771027565002441
1648502321.2725403,318831,5.046411514282227
1648502352.2540274,320244,4.385949611663818
1648502384.8882697,321738,4.957440376281738
1648502417.414486,323232,6.921701908111572
1648502462.968388,325327,3.800128221511841
1648502514.5099263,327699,5.803905487060547
1648502540.0678427,328873,5.421097755432129
1648502575.7544334,330514,4.067653656005859
1648502600.2794545,331641,5.411711692810059
1648502623.7928658,332720,5.2986063957214355
1648502652.0412295,334017,5.107381343841553
1648502684.3125181,335497,4.972123622894287
1648502711.1023765,336725,2.1276445388793945
1648502740.97556,338097,5.605581760406494
1648502772.7682183,339560,5.394672870635986
1648502797.7276201,340710,4.72908878326416
1648502821.7537448,341816,4.513150691986084
1648502846.77693,342970,4.5811920166015625
1648502871.9713438,344128,6.251356601715088
1648502896.7213564,345271,6.117215156555176
1648502921.7800734,346427,6.310466766357422
1648502945.6727588,347529,4.860471725463867
1648502969.0894654,348607,5.963811874389648
1648502994.2223852,349699,4.500672817230225
1648503024.3385816,350949,5.327338218688965
1648503065.9899764,352680,3.694072723388672
1648503105.601425,354325,2.828998327255249
1648503141.010654,355796,2.8912081718444824
1648503176.2246807,357260,4.236877918243408
1648503210.9088545,358702,4.326137065887451
1648503248.543958,360267,3.8443069458007812
1648503277.3672395,361465,5.240138530731201
1648503312.1468806,362909,4.180851936340332
1648503343.06603,364191,4.356359004974365
1648503392.0768473,366226,5.334115028381348
1648503428.1315646,367723,4.714288234710693
1648503472.0339937,369544,2.069643974304199
1648503499.8759987,370700,4.442888259887695
1648503557.3629956,373089,4.182182788848877
1648503605.0417323,375069,4.386219024658203
1648503634.197602,376278,5.504498481750488
1648503660.8799195,377386,4.873251438140869
1648503688.6490402,378538,5.994221210479736
1648503714.0277908,379590,5.357642650604248
1648503736.1776924,380504,5.577517509460449
1648503776.7066658,382184,5.021057605743408
1648503813.7148614,383857,4.573504447937012
1648503840.963389,385095,4.377410888671875
1648503867.5655234,386303,4.254748821258545
1648503898.7480063,387720,4.4218034744262695
1648503932.2784102,389218,4.7732014656066895
1648503951.4681349,390011,3.9710919857025146
1648504003.5948305,392163,5.123939514160156
1648504040.4107368,393761,4.060982704162598
1648504070.0435781,395108,6.0381011962890625
1648504100.7175345,396500,5.454050540924072
1648504122.9129946,397508,5.125443935394287
1648504142.6485856,398404,5.729865550994873
1648504168.8599122,399594,6.162593364715576
1648504190.693531,400585,4.468371868133545
1648504219.8063927,401906,5.274192810058594
1648504245.1024356,403054,5.368042945861816
1648504269.9960206,404183,2.988609552383423
1648504304.6555972,405757,5.063530445098877
1648504339.26958,407328,3.5039424896240234
1648504375.9644315,408994,4.602354049682617
1648504404.5377636,410292,5.904798984527588
1648504441.1589873,411954,3.7534053325653076
1648504479.6939802,413701,5.613825798034668
1648504502.8746288,414752,4.393019676208496
1648504529.7696564,415964,5.740857124328613
1648504556.236965,417055,5.791038513183594
1648504589.5596707,418425,4.047446250915527
1648504627.2570791,419977,5.789676189422607
1648504661.561896,421389,5.29551362991333
1648504693.685044,422708,5.510571002960205
1648504724.1797256,423947,5.439643859863281
1648504762.63732,425509,4.11483097076416
1648504796.3449893,426878,4.3261189460754395
1648504847.03455,428932,3.036540985107422
1648504909.1353207,431450,3.3756608963012695
1648504933.4184306,432434,5.867910385131836
1648504958.615372,433456,4.47583532333374
1648504987.146275,434609,2.960350275039673
1648505013.166292,435666,4.004641532897949
1648505040.1291933,436765,5.848730564117432
1648505065.8333082,437820,5.601888179779053
1648505091.8679907,438888,6.6530303955078125
1648505124.1340547,440211,4.501058578491211
